,sum_clones
020000010808_S3_L001.clonotypes.TRB.txt,15517
020003890808_S67_L001.clonotypes.TRB.txt,43462
050002090808_S74_L001.clonotypes.TRB.txt,23200
270000870808_S37_L001.clonotypes.TRB.txt,30175
020000360808_S102_L002.clonotypes.TRB.txt,67373
050000200808_S157_L002.clonotypes.TRB.txt,30717
330001070808_S180_L002.clonotypes.TRB.txt,22422
500000530808_S147_L002.clonotypes.TRB.txt,33172
020000700808_S134_L002.clonotypes.TRB.txt,62267
050002020808_S115_L002.clonotypes.TRB.txt,24441
440000790808_S68_L001.clonotypes.TRB.txt,23939
540003270808_S65_L001.clonotypes.TRB.txt,24142
330000950808_S132_L002.clonotypes.TRB.txt,45623
270000050808_S111_L002.clonotypes.TRB.txt,62004
330000410808_S109_L002.clonotypes.TRB.txt,39528
340002510808_S180_L002.clonotypes.TRB.txt,26232
690002080808_S58_L001.clonotypes.TRB.txt,52049
540002570808_S121_L002.clonotypes.TRB.txt,34872
690001140808_S97_L002.clonotypes.TRB.txt,17752
330001280808_S92_L001.clonotypes.TRB.txt,39064
500001270808_S163_L002.clonotypes.TRB.txt,36441
330002060808_S122_L002.clonotypes.TRB.txt,22442
050001330808_S153_L002.clonotypes.TRB.txt,18983
690000090808_S154_L002.clonotypes.TRB.txt,30322
440000040808_S191_L002.clonotypes.TRB.txt,61600
540002830808_S9_L001.clonotypes.TRB.txt,42022
050000810808_S66_L001.clonotypes.TRB.txt,31015
270000140808_S174_L002.clonotypes.TRB.txt,85778
540002650808_S169_L002.clonotypes.TRB.txt,61200
020000190808_S27_L001.clonotypes.TRB.txt,52276
050002130808_S46_L001.clonotypes.TRB.txt,6954
360001440808_S141_L002.clonotypes.TRB.txt,13583
360001380808_S173_L002.clonotypes.TRB.txt,20605
240101640808_S135_L002.clonotypes.TRB.txt,45993
460001200808_S176_L002.clonotypes.TRB.txt,38261
500001010808_S178_L002.clonotypes.TRB.txt,84450
300000710808_S124_L002.clonotypes.TRB.txt,66024
370000570808_S110_L002.clonotypes.TRB.txt,30340
460001010808_S167_L002.clonotypes.TRB.txt,33090
410004360808_S119_L002.clonotypes.TRB.txt,34033
050000230808_S160_L002.clonotypes.TRB.txt,29928
020003900808_S43_L001.clonotypes.TRB.txt,51167
050002030808_S38_L001.clonotypes.TRB.txt,5205
500000570808_S42_L001.clonotypes.TRB.txt,38148
340002530808_S172_L002.clonotypes.TRB.txt,42981
330001080808_S148_L002.clonotypes.TRB.txt,53542
270001070808_S158_L002.clonotypes.TRB.txt,66533
540002870808_S17_L001.clonotypes.TRB.txt,22005
020000390808_S189_L002.clonotypes.TRB.txt,42577
020003020808_S91_L001.clonotypes.TRB.txt,51411
050001720808_S75_L001.clonotypes.TRB.txt,42502
540003340808_S73_L001.clonotypes.TRB.txt,38073
330000960808_S141_L002.clonotypes.TRB.txt,40457
400000290808_S134_L002.clonotypes.TRB.txt,66659
330001710808_S177_L002.clonotypes.TRB.txt,23130
330000580808_S125_L002.clonotypes.TRB.txt,33672
500001140808_S71_L001.clonotypes.TRB.txt,29554
330002090808_S89_L001.clonotypes.TRB.txt,41532
050000970808_S55_L001.clonotypes.TRB.txt,31845
690001370808_S32_L001.clonotypes.TRB.txt,48161
020000110808_S14_L001.clonotypes.TRB.txt,48480
270000060808_S119_L002.clonotypes.TRB.txt,54691
440000310808_S151_L002.clonotypes.TRB.txt,147087
540002660808_S177_L002.clonotypes.TRB.txt,21688
440000860808_S47_L001.clonotypes.TRB.txt,79695
360001390808_S117_L002.clonotypes.TRB.txt,18185
690000120808_S50_L001.clonotypes.TRB.txt,42013
460001480808_S151_L002.clonotypes.TRB.txt,63151
460001030808_S152_L002.clonotypes.TRB.txt,15630
500001360808_S131_L002.clonotypes.TRB.txt,51709
540002580808_S129_L002.clonotypes.TRB.txt,67223
370000580808_S118_L002.clonotypes.TRB.txt,26395
330001110808_S156_L002.clonotypes.TRB.txt,25458
360001560808_S165_L002.clonotypes.TRB.txt,57358
270000010808_S182_L002.clonotypes.TRB.txt,56265
020000200808_S181_L002.clonotypes.TRB.txt,53386
440000960808_S80_L001.clonotypes.TRB.txt,25125
270000190808_S52_L001.clonotypes.TRB.txt,51798
540002980808_S25_L001.clonotypes.TRB.txt,5520
340002540808_S188_L002.clonotypes.TRB.txt,32151
050000240808_S85_L001.clonotypes.TRB.txt,39381
330000980808_S188_L002.clonotypes.TRB.txt,29556
300000920808_S132_L002.clonotypes.TRB.txt,57015
050002070808_S58_L001.clonotypes.TRB.txt,37434
270001050808_S23_L001.clonotypes.TRB.txt,66311
050000990808_S40_L001.clonotypes.TRB.txt,23431
440000110808_S120_L002.clonotypes.TRB.txt,87912
020004000808_S83_L001.clonotypes.TRB.txt,46215
690001620808_S40_L001.clonotypes.TRB.txt,30964
500000580808_S93_L001.clonotypes.TRB.txt,47448
330001730808_S178_L002.clonotypes.TRB.txt,41466
270001180808_S76_L001.clonotypes.TRB.txt,49066
050001870808_S147_L002.clonotypes.TRB.txt,32386
020000420808_S51_L001.clonotypes.TRB.txt,61898
540003460808_S81_L001.clonotypes.TRB.txt,40230
330000670808_S24_L001.clonotypes.TRB.txt,41572
020003060808_S142_L002.clonotypes.TRB.txt,46965
330002360808_S154_L002.clonotypes.TRB.txt,22238
500001220808_S123_L002.clonotypes.TRB.txt,80833
020000710808_S15_L001.clonotypes.TRB.txt,30823
540002670808_S185_L002.clonotypes.TRB.txt,24814
330001030808_S86_L001.clonotypes.TRB.txt,37237
360001400808_S125_L002.clonotypes.TRB.txt,29069
460001930808_S184_L002.clonotypes.TRB.txt,67181
400000310808_S142_L002.clonotypes.TRB.txt,63657
540002590808_S137_L002.clonotypes.TRB.txt,23356
440001090808_S88_L001.clonotypes.TRB.txt,11892
330001250808_S56_L001.clonotypes.TRB.txt,25841
690001050808_S122_L002.clonotypes.TRB.txt,35922
500001380808_S187_L002.clonotypes.TRB.txt,29238
020000280808_S59_L001.clonotypes.TRB.txt,20914
400000130808_S158_L002.clonotypes.TRB.txt,34434
540003020808_S33_L001.clonotypes.TRB.txt,20202
460001050808_S175_L002.clonotypes.TRB.txt,40048
360001680808_S149_L002.clonotypes.TRB.txt,33794
440000490808_S23_L001.clonotypes.TRB.txt,65173
270000200808_S44_L001.clonotypes.TRB.txt,32873
340002950808_S156_L002.clonotypes.TRB.txt,33610
330001780808_S170_L002.clonotypes.TRB.txt,8306
020000640808_S117_L002.clonotypes.TRB.txt,4575
020004070808_S4_L001.clonotypes.TRB.txt,17407
270000020808_S12_L001.clonotypes.TRB.txt,58298
050001030808_S28_L001.clonotypes.TRB.txt,41907
270000070808_S20_L001.clonotypes.TRB.txt,133475
500001230808_S139_L002.clonotypes.TRB.txt,24691
050000440808_S15_L001.clonotypes.TRB.txt,64410
270001310808_S165_L002.clonotypes.TRB.txt,21036
050001890808_S86_L001.clonotypes.TRB.txt,26092
330000710808_S140_L002.clonotypes.TRB.txt,10700
540003500808_S89_L001.clonotypes.TRB.txt,13557
230002190808_S163_L002.clonotypes.TRB.txt,64426
330001050808_S101_L002.clonotypes.TRB.txt,35666
500000910808_S186_L002.clonotypes.TRB.txt,48162
270001190808_S22_L001.clonotypes.TRB.txt,87794
460004460808_S144_L002.clonotypes.TRB.txt,38871
540002610808_S145_L002.clonotypes.TRB.txt,10077
020003100808_S19_L001.clonotypes.TRB.txt,37916
540002680808_S98_L002.clonotypes.TRB.txt,35519
330002370808_S162_L002.clonotypes.TRB.txt,38675
690001790808_S29_L001.clonotypes.TRB.txt,72006
400002860808_S182_L002.clonotypes.TRB.txt,30154
440001540808_S135_L002.clonotypes.TRB.txt,164698
440000180808_S143_L002.clonotypes.TRB.txt,105965
020003190808_S12_L001.clonotypes.TRB.txt,50528
540003220808_S49_L001.clonotypes.TRB.txt,15539
690001060808_S162_L002.clonotypes.TRB.txt,16317
360001410808_S133_L002.clonotypes.TRB.txt,46367
500001390808_S171_L002.clonotypes.TRB.txt,47139
460000690808_S168_L002.clonotypes.TRB.txt,34097
330001790808_S146_L002.clonotypes.TRB.txt,37494
020000340808_S82_L001.clonotypes.TRB.txt,27495
330002940808_S80_L001.clonotypes.TRB.txt,35405
460001060808_S183_L002.clonotypes.TRB.txt,28954
300000940808_S140_L002.clonotypes.TRB.txt,120950
340002960808_S164_L002.clonotypes.TRB.txt,20075
540003570808_S2_L001.clonotypes.TRB.txt,23073
330000090808_S70_L001.clonotypes.TRB.txt,54387
270000270808_S113_L002.clonotypes.TRB.txt,45667
500001240808_S115_L002.clonotypes.TRB.txt,26103
050001130808_S22_L001.clonotypes.TRB.txt,23800
050001100808_S169_L002.clonotypes.TRB.txt,39110
330000780808_S172_L002.clonotypes.TRB.txt,20834
020000650808_S11_L001.clonotypes.TRB.txt,55443
440000500808_S183_L002.clonotypes.TRB.txt,72647
240101560808_S127_L002.clonotypes.TRB.txt,18363
050001920808_S78_L001.clonotypes.TRB.txt,27068
020004130808_S110_L002.clonotypes.TRB.txt,51055
270000030808_S190_L002.clonotypes.TRB.txt,76237
330001060808_S133_L002.clonotypes.TRB.txt,36310
360001830808_S109_L002.clonotypes.TRB.txt,95888
290000390808_S116_L002.clonotypes.TRB.txt,45096
300000960808_S148_L002.clonotypes.TRB.txt,23351
500000010808_S9_L001.clonotypes.TRB.txt,27513
460000890808_S128_L002.clonotypes.TRB.txt,23088
400003590808_S111_L002.clonotypes.TRB.txt,53305
540002620808_S153_L002.clonotypes.TRB.txt,26190
270000090808_S28_L001.clonotypes.TRB.txt,90815
690001910808_S84_L001.clonotypes.TRB.txt,41114
330002520808_S90_L001.clonotypes.TRB.txt,41622
020003810808_S104_L002.clonotypes.TRB.txt,48777
330001870808_S185_L002.clonotypes.TRB.txt,64860
540003240808_S57_L001.clonotypes.TRB.txt,25370
020003200808_S13_L001.clonotypes.TRB.txt,34186
500001400808_S155_L002.clonotypes.TRB.txt,15431
440000030808_S13_L001.clonotypes.TRB.txt,29718
330000350808_S164_L002.clonotypes.TRB.txt,30316
690001110808_S146_L002.clonotypes.TRB.txt,38932
540002690808_S106_L002.clonotypes.TRB.txt,58969
360001420808_S157_L002.clonotypes.TRB.txt,39137
500000950808_S26_L001.clonotypes.TRB.txt,78931
360001370808_S189_L002.clonotypes.TRB.txt,26620
400000180808_S166_L002.clonotypes.TRB.txt,127328
460001100808_S160_L002.clonotypes.TRB.txt,33951
050001990808_S123_L002.clonotypes.TRB.txt,15053
020000350808_S126_L002.clonotypes.TRB.txt,42635
440000190808_S167_L002.clonotypes.TRB.txt,68737
500001250808_S179_L002.clonotypes.TRB.txt,21464
050001210808_S129_L002.clonotypes.TRB.txt,18153
540003600808_S10_L001.clonotypes.TRB.txt,53712
240101580808_S143_L002.clonotypes.TRB.txt,23104
050002060808_S54_L001.clonotypes.TRB.txt,35775
020003940808_S10_L001.clonotypes.TRB.txt,15202
020004200808_S75_L001.clonotypes.TRB.txt,33808
270000290808_S149_L002.clonotypes.TRB.txt,53460
270000040808_S103_L002.clonotypes.TRB.txt,35005
330002580808_S96_L001.clonotypes.TRB.txt,9397
330000870808_S66_L001.clonotypes.TRB.txt,67935
540002640808_S161_L002.clonotypes.TRB.txt,9833
500000410808_S68_L001.clonotypes.TRB.txt,35536
290002570808_S187_L002.clonotypes.TRB.txt,89889
460000920808_S136_L002.clonotypes.TRB.txt,43756
540002700808_S114_L002.clonotypes.TRB.txt,10519
540002140808_S46_L001.clonotypes.TRB.txt,10568
500001990808_S179_L002.clonotypes.TRB.txt,31563
540003550808_S2_L001.clonotypes.TRB.txt,12016
440002200808_S159_L002.clonotypes.TRB.txt,163283
500002020808_S16_L001.clonotypes.TRB.txt,26020
020003840808_S118_L002.clonotypes.TRB.txt,30790
050000880101_S106_L002.clonotypes.TRB.txt,48775
330000550808_S72_L001.clonotypes.TRB.txt,57611
020000670808_S90_L001.clonotypes.TRB.txt,85297
400004310808_S103_L002.clonotypes.TRB.txt,66563
020003830101_S186_L002.clonotypes.TRB.txt,44849
460001120808_S104_L002.clonotypes.TRB.txt,30727
270000110808_S166_L002.clonotypes.TRB.txt,58454
050000610101_S103_L002.clonotypes.TRB.txt,30008
360001430808_S181_L002.clonotypes.TRB.txt,47812
400000210808_S174_L002.clonotypes.TRB.txt,46621
500000860808_S83_L001.clonotypes.TRB.txt,105003
690001120808_S124_L002.clonotypes.TRB.txt,56811
500000990808_S107_L002.clonotypes.TRB.txt,57992
360001840808_S101_L002.clonotypes.TRB.txt,103186
140003810101_S56_L001.clonotypes.TRB.txt,26449
050001610101_S115_L002.clonotypes.TRB.txt,42122
440000530808_S144_L002.clonotypes.TRB.txt,138605
050000320101_S83_L001.clonotypes.TRB.txt,73029
690002050808_S99_L002.clonotypes.TRB.txt,111417
290002630808_S108_L002.clonotypes.TRB.txt,48634
330002320808_S168_L002.clonotypes.TRB.txt,20067
050001190101_S73_L001.clonotypes.TRB.txt,82233
270000580808_S87_L001.clonotypes.TRB.txt,43362
230003360808_S162_L002.clonotypes.TRB.txt,67611
330000810808_S11_L001.clonotypes.TRB.txt,21090
440002980101_S145_L002.clonotypes.TRB.txt,33707
460000940101_S148_L002.clonotypes.TRB.txt,32026
540002180808_S45_L001.clonotypes.TRB.txt,27432
330001910101_S171_L002.clonotypes.TRB.txt,46587
540003680808_S1_L001.clonotypes.TRB.txt,30633
500003040808_S82_L001.clonotypes.TRB.txt,41044
050002050101_S124_L002.clonotypes.TRB.txt,85404
370000490808_S102_L002.clonotypes.TRB.txt,16187
330003330808_S166_L002.clonotypes.TRB.txt,61768
260002990101_S12_L001.clonotypes.TRB.txt,79962
330001580101_S129_L002.clonotypes.TRB.txt,86564
050001820101_S79_L001.clonotypes.TRB.txt,106963
050000930101_S107_L002.clonotypes.TRB.txt,56370
440000470101_S142_L002.clonotypes.TRB.txt,72285
540000560808_S164_L002.clonotypes.TRB.txt,63251
690000970101_S64_L001.clonotypes.TRB.txt,64172
540002970101_S158_L002.clonotypes.TRB.txt,70695
050000630101_S104_L002.clonotypes.TRB.txt,44408
440000200808_S136_L002.clonotypes.TRB.txt,130578
780000840101_S38_L001.clonotypes.TRB.txt,48551
500001040808_S171_L002.clonotypes.TRB.txt,46334
050000010101_S97_L002.clonotypes.TRB.txt,66208
400000250808_S126_L002.clonotypes.TRB.txt,67748
780003440101_S87_L001.clonotypes.TRB.txt,60752
440003040101_S181_L002.clonotypes.TRB.txt,22182
640002980101_S52_L001.clonotypes.TRB.txt,85058
260002840101_S8_L001.clonotypes.TRB.txt,53286
540000140808_S36_L001.clonotypes.TRB.txt,13996
780004960101_S16_L001.clonotypes.TRB.txt,78472
460000990101_S149_L002.clonotypes.TRB.txt,52294
540002260808_S44_L001.clonotypes.TRB.txt,33126
270000120808_S36_L001.clonotypes.TRB.txt,105269
400004360808_S190_L002.clonotypes.TRB.txt,124762
690001200808_S107_L002.clonotypes.TRB.txt,33155
050001700101_S81_L001.clonotypes.TRB.txt,81599
440000570808_S128_L002.clonotypes.TRB.txt,93696
210002070101_S69_L001.clonotypes.TRB.txt,90169
440003380808_S112_L002.clonotypes.TRB.txt,156133
050001230101_S71_L001.clonotypes.TRB.txt,63402
440000300808_S78_L001.clonotypes.TRB.txt,10336
330003400808_S167_L002.clonotypes.TRB.txt,51425
020002240807_S106_L002.clonotypes.TRB.txt,67144
280001880807_S135_L002.clonotypes.TRB.txt,54568
050000480101_S100_L002.clonotypes.TRB.txt,86596
780005220101_S43_L001.clonotypes.TRB.txt,82308
230003070807_S37_L001.clonotypes.TRB.txt,92429
330001930101_S134_L002.clonotypes.TRB.txt,64068
050002120101_S125_L002.clonotypes.TRB.txt,55010
330002530101_S137_L002.clonotypes.TRB.txt,80971
270000100807_S23_L001.clonotypes.TRB.txt,66932
260004150101_S10_L001.clonotypes.TRB.txt,100797
050001050101_S108_L002.clonotypes.TRB.txt,50539
330001660101_S170_L002.clonotypes.TRB.txt,64069
540003090101_S96_L001.clonotypes.TRB.txt,56677
050000670101_S77_L001.clonotypes.TRB.txt,46555
640003540101_S54_L001.clonotypes.TRB.txt,50968
690000990101_S63_L001.clonotypes.TRB.txt,87388
540001160101_S152_L002.clonotypes.TRB.txt,66844
500001470808_S64_L001.clonotypes.TRB.txt,51164
440000480101_S178_L002.clonotypes.TRB.txt,86597
050000050101_S86_L001.clonotypes.TRB.txt,67451
540002290808_S42_L001.clonotypes.TRB.txt,23146
540001040808_S84_L001.clonotypes.TRB.txt,42040
780002090101_S89_L001.clonotypes.TRB.txt,80418
780003450101_S95_L001.clonotypes.TRB.txt,59352
470001090807_S160_L002.clonotypes.TRB.txt,58702
330001290807_S162_L002.clonotypes.TRB.txt,37735
440003140101_S146_L002.clonotypes.TRB.txt,69973
050001710101_S116_L002.clonotypes.TRB.txt,45571
050000520101_S101_L002.clonotypes.TRB.txt,19789
280001890807_S143_L002.clonotypes.TRB.txt,54570
780005090101_S40_L001.clonotypes.TRB.txt,52177
260002850101_S3_L001.clonotypes.TRB.txt,115305
280002980807_S49_L001.clonotypes.TRB.txt,92362
230002070807_S129_L002.clonotypes.TRB.txt,29719
440000050101_S175_L002.clonotypes.TRB.txt,40567
690001770808_S53_L001.clonotypes.TRB.txt,63532
050001830101_S119_L002.clonotypes.TRB.txt,135224
330001940101_S135_L002.clonotypes.TRB.txt,51498
260004220101_S11_L001.clonotypes.TRB.txt,60080
460001130101_S150_L002.clonotypes.TRB.txt,86053
500000140808_S8_L001.clonotypes.TRB.txt,60449
780005240101_S42_L001.clonotypes.TRB.txt,62178
210002270101_S70_L001.clonotypes.TRB.txt,114064
330002550101_S139_L002.clonotypes.TRB.txt,40648
050001290101_S112_L002.clonotypes.TRB.txt,57196
440000650808_S175_L002.clonotypes.TRB.txt,86486
050001070101_S109_L002.clonotypes.TRB.txt,39789
050002170101_S126_L002.clonotypes.TRB.txt,51389
230003090807_S29_L001.clonotypes.TRB.txt,66424
270000130807_S31_L001.clonotypes.TRB.txt,76667
440000880101_S63_L001.clonotypes.TRB.txt,96572
050000730101_S105_L002.clonotypes.TRB.txt,42208
540002400808_S41_L001.clonotypes.TRB.txt,12011
470001130807_S104_L002.clonotypes.TRB.txt,36834
330001670101_S130_L002.clonotypes.TRB.txt,58084
540002050101_S154_L002.clonotypes.TRB.txt,30814
780003490101_S93_L001.clonotypes.TRB.txt,33276
280002120807_S127_L002.clonotypes.TRB.txt,57958
500001490808_S49_L001.clonotypes.TRB.txt,54949
690001010101_S62_L001.clonotypes.TRB.txt,75745
540001400808_S34_L001.clonotypes.TRB.txt,71138
780002130101_S90_L001.clonotypes.TRB.txt,52756
330001390807_S154_L002.clonotypes.TRB.txt,30148
540003110101_S159_L002.clonotypes.TRB.txt,100388
330002700101_S173_L002.clonotypes.TRB.txt,42799
260002880101_S4_L001.clonotypes.TRB.txt,82083
690000060101_S60_L001.clonotypes.TRB.txt,88095
440003240101_S182_L002.clonotypes.TRB.txt,68745
780005110101_S50_L001.clonotypes.TRB.txt,38455
270000150807_S39_L001.clonotypes.TRB.txt,38453
330001990101_S136_L002.clonotypes.TRB.txt,41510
330000100807_S67_L001.clonotypes.TRB.txt,46410
690001970808_S16_L001.clonotypes.TRB.txt,40439
780005250101_S46_L001.clonotypes.TRB.txt,33072
500001210807_S66_L001.clonotypes.TRB.txt,22118
230003110807_S21_L001.clonotypes.TRB.txt,19881
050001750101_S117_L002.clonotypes.TRB.txt,56562
050001960101_S120_L002.clonotypes.TRB.txt,64202
470001410807_S163_L002.clonotypes.TRB.txt,45209
470001590807_S68_L001.clonotypes.TRB.txt,47704
050000070101_S98_L002.clonotypes.TRB.txt,106685
230002080807_S137_L002.clonotypes.TRB.txt,75862
050000540101_S78_L001.clonotypes.TRB.txt,84360
540002630808_S7_L001.clonotypes.TRB.txt,30231
260004240101_S13_L001.clonotypes.TRB.txt,67604
210003270101_S66_L001.clonotypes.TRB.txt,60194
330001850101_S131_L002.clonotypes.TRB.txt,41778
050002210101_S127_L002.clonotypes.TRB.txt,70617
440000850101_S179_L002.clonotypes.TRB.txt,138884
440000270101_S176_L002.clonotypes.TRB.txt,101497
280002460807_S123_L002.clonotypes.TRB.txt,23844
780003880101_S91_L001.clonotypes.TRB.txt,43152
050001090101_S72_L001.clonotypes.TRB.txt,84702
050001310101_S113_L002.clonotypes.TRB.txt,91644
050000740101_S76_L001.clonotypes.TRB.txt,70076
540001930808_S48_L001.clonotypes.TRB.txt,32319
440000940101_S71_L001.clonotypes.TRB.txt,65469
500001620808_S63_L001.clonotypes.TRB.txt,61016
540002270101_S155_L002.clonotypes.TRB.txt,92866
500000930101_S58_L001.clonotypes.TRB.txt,114540
330002760101_S140_L002.clonotypes.TRB.txt,62741
330003060808_S80_L001.clonotypes.TRB.txt,56279
330000310807_S59_L001.clonotypes.TRB.txt,36234
440003270101_S183_L002.clonotypes.TRB.txt,30722
780002140101_S94_L001.clonotypes.TRB.txt,70893
330002030808_S165_L002.clonotypes.TRB.txt,51285
020000330101_S185_L002.clonotypes.TRB.txt,38364
050002000101_S121_L002.clonotypes.TRB.txt,70232
540002380807_S103_L002.clonotypes.TRB.txt,17424
260002910101_S9_L001.clonotypes.TRB.txt,74610
470001420807_S52_L001.clonotypes.TRB.txt,54079
540003420101_S160_L002.clonotypes.TRB.txt,62343
260000240807_S152_L002.clonotypes.TRB.txt,63637
690001180101_S161_L002.clonotypes.TRB.txt,94188
210003330101_S68_L001.clonotypes.TRB.txt,39566
500001300807_S3_L001.clonotypes.TRB.txt,56243
780005280101_S44_L001.clonotypes.TRB.txt,107182
270000160807_S47_L001.clonotypes.TRB.txt,49473
050001790101_S80_L001.clonotypes.TRB.txt,92497
690000110101_S59_L001.clonotypes.TRB.txt,86758
780005150101_S47_L001.clonotypes.TRB.txt,90561
230002180807_S176_L002.clonotypes.TRB.txt,67046
280002540807_S147_L002.clonotypes.TRB.txt,21006
780004510101_S41_L001.clonotypes.TRB.txt,43185
470002530808_S72_L001.clonotypes.TRB.txt,81318
050000090101_S85_L001.clonotypes.TRB.txt,89136
440001210101_S143_L002.clonotypes.TRB.txt,34702
140001090101_S55_L001.clonotypes.TRB.txt,71720
050000550101_S84_L001.clonotypes.TRB.txt,97297
440000330101_S141_L002.clonotypes.TRB.txt,34290
050001350101_S114_L002.clonotypes.TRB.txt,56233
330003180807_S94_L001.clonotypes.TRB.txt,47304
540002770807_S50_L001.clonotypes.TRB.txt,37644
270000620101_S65_L001.clonotypes.TRB.txt,89835
050001170101_S110_L002.clonotypes.TRB.txt,39841
330001860101_S132_L002.clonotypes.TRB.txt,93327
780002510101_S92_L001.clonotypes.TRB.txt,36795
330002800101_S174_L002.clonotypes.TRB.txt,99173
500001920808_S20_L001.clonotypes.TRB.txt,77446
050002010101_S122_L002.clonotypes.TRB.txt,43706
050000750101_S74_L001.clonotypes.TRB.txt,123907
260002950101_S7_L001.clonotypes.TRB.txt,51699
550004220808_S150_L002.clonotypes.TRB.txt,58433
540002600101_S156_L002.clonotypes.TRB.txt,42892
470001440807_S171_L002.clonotypes.TRB.txt,38449
540000070101_S151_L002.clonotypes.TRB.txt,85260
260000320807_S144_L002.clonotypes.TRB.txt,11822
330002050101_S172_L002.clonotypes.TRB.txt,49710
500001310807_S89_L001.clonotypes.TRB.txt,24456
050001810101_S118_L002.clonotypes.TRB.txt,42684
780005300101_S49_L001.clonotypes.TRB.txt,38757
690002520101_S2_L001.clonotypes.TRB.txt,30133
270001010808_S158_L002.clonotypes.TRB.txt,47180
050000130101_S99_L002.clonotypes.TRB.txt,30254
330000340807_S83_L001.clonotypes.TRB.txt,108252
690000430101_S61_L001.clonotypes.TRB.txt,24907
440001020101_S79_L001.clonotypes.TRB.txt,142608
440001580101_S144_L002.clonotypes.TRB.txt,41503
640002170101_S51_L001.clonotypes.TRB.txt,61894
280002900807_S139_L002.clonotypes.TRB.txt,29987
540002490807_S111_L002.clonotypes.TRB.txt,80464
230002210807_S169_L002.clonotypes.TRB.txt,52171
330001570101_S128_L002.clonotypes.TRB.txt,47217
460000850101_S147_L002.clonotypes.TRB.txt,85944
330001880101_S133_L002.clonotypes.TRB.txt,32303
470002910807_S120_L002.clonotypes.TRB.txt,61223
540002790807_S58_L001.clonotypes.TRB.txt,23025
780004910101_S26_L001.clonotypes.TRB.txt,74984
330003360808_S142_L002.clonotypes.TRB.txt,24754
470001450807_S76_L001.clonotypes.TRB.txt,41411
210004080101_S67_L001.clonotypes.TRB.txt,115480
050001460101_S82_L001.clonotypes.TRB.txt,53019
540002780101_S157_L002.clonotypes.TRB.txt,10601
440000440101_S177_L002.clonotypes.TRB.txt,57196
780005180101_S45_L001.clonotypes.TRB.txt,55310
630001790807_S92_L001.clonotypes.TRB.txt,38895
270000080807_S15_L001.clonotypes.TRB.txt,51544
540000450808_S163_L002.clonotypes.TRB.txt,29257
770101010807_S107_L002.clonotypes.TRB.txt,35433
780001250807_S145_L002.clonotypes.TRB.txt,22191
780003320101_S88_L001.clonotypes.TRB.txt,41239
140003720101_S57_L001.clonotypes.TRB.txt,60498
050002040101_S123_L002.clonotypes.TRB.txt,41550
500001320807_S82_L001.clonotypes.TRB.txt,20893
280001570807_S57_L001.clonotypes.TRB.txt,36361
630003920807_S115_L002.clonotypes.TRB.txt,48382
050000600101_S102_L002.clonotypes.TRB.txt,85012
770101560807_S174_L002.clonotypes.TRB.txt,48602
780004080807_S53_L001.clonotypes.TRB.txt,36250
770102700807_S20_L001.clonotypes.TRB.txt,49199
340003410808_S34_L001.clonotypes.TRB.txt,22702
630000020807_S151_L002.clonotypes.TRB.txt,67377
540002820808_S93_L001.clonotypes.TRB.txt,9075
